medallion,hack_license,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance
2010000237,2010000237,CMT,1/1/2010 0:02,1/1/2010 0:11,1,9.17,1.6
2010000238,2010000238,CMT,1/1/2010 0:02,1/1/2010 0:12,2,9.7,1.6
2010000239,2010000239,CMT,1/1/2010 0:02,1/1/2010 0:15,1,12.5,5.3
2010000240,2010000240,CMT,1/1/2010 0:02,1/1/2010 0:11,1,8.3,2.2
2010000241,2010000241,CMT,1/1/2010 0:02,1/1/2010 0:06,1,3.9,0.7
2010000242,2010000242,CMT,1/1/2010 0:02,1/1/2010 0:08,2,5.95,0.8
2010000243,2010000243,DDS,1/1/2010 0:02,1/1/2010 0:10,2,7.45,1.4
2010000244,2010000244,CMT,1/1/2010 0:02,1/1/2010 0:07,1,4.62,0.9
2010000245,2010000245,CMT,1/1/2010 0:02,1/1/2010 0:07,1,4.1,0.8
2010000246,2010000246,CMT,1/1/2010 0:02,1/1/2010 0:08,1,5.1,1.6
2010000247,2010000247,CMT,1/1/2010 0:02,1/1/2010 0:09,1,6.6,0.8
2010000248,2010000248,CMT,1/1/2010 0:02,1/1/2010 0:14,4,11.45,1.7
2010000249,2010000249,CMT,1/1/2010 0:02,1/1/2010 0:06,1,3.87,1
2010000250,2010000250,VTS,1/1/2010 0:02,1/1/2010 0:02,4,0,0.96
2010000251,2010000251,CMT,1/1/2010 0:02,1/1/2010 0:06,3,3.53,0.5
2010000252,2010000252,CMT,1/1/2010 0:02,1/1/2010 0:11,3,8.93,1.6
2010000253,2010000253,DDS,1/1/2010 0:02,1/1/2010 0:08,1,5.46,1
2010000254,2010000254,CMT,1/1/2010 0:02,1/1/2010 0:20,1,17.73,2.9
2010000255,2010000255,CMT,1/1/2010 0:02,1/1/2010 0:09,1,7,1.2
2010000256,2010000256,VTS,1/1/2010 0:03,1/1/2010 0:38,1,35,3.19
2010000257,2010000257,VTS,1/1/2010 0:03,1/1/2010 0:28,1,25,4.13
2010000258,2010000258,VTS,1/1/2010 0:03,1/1/2010 0:33,1,30,4.92
2010000259,2010000259,VTS,1/1/2010 0:03,1/1/2010 0:31,5,28,4.15
2010000260,2010000260,VTS,1/1/2010 0:03,1/1/2010 0:35,1,32,0.26
2010000261,2010000261,VTS,1/1/2010 0:03,1/1/2010 0:26,1,23,6.5
2010000262,2010000262,VTS,1/1/2010 0:03,1/1/2010 0:29,3,26,13.45
2010000263,2010000263,VTS,1/1/2010 0:03,1/1/2010 0:33,5,30,7.87
2010000264,2010000264,VTS,1/1/2010 0:03,1/1/2010 0:27,3,24,6.29
2010000265,2010000265,VTS,1/1/2010 0:03,1/1/2010 0:46,1,43,0.36
2010000266,2010000266,CMT,1/1/2010 0:03,1/1/2010 0:16,1,13.75,1.1
2010000267,2010000267,VTS,1/1/2010 0:03,1/1/2010 0:34,1,31,6.66
2010000268,2010000268,VTS,1/1/2010 0:03,1/1/2010 0:27,1,24,13.71
2010000269,2010000269,CMT,1/1/2010 0:03,1/1/2010 0:07,3,4.17,0.7
2010000270,2010000270,VTS,1/1/2010 0:03,1/1/2010 0:03,1,0,0.49
2010000271,2010000271,VTS,1/1/2010 0:03,1/1/2010 0:03,5,0,1.5
2010000272,2010000272,CMT,1/1/2010 0:03,1/1/2010 0:09,2,6.13,0.9
2010000273,2010000273,CMT,1/1/2010 0:03,1/1/2010 0:13,2,10.78,4.9
2010000274,2010000274,CMT,1/1/2010 0:03,1/1/2010 0:29,1,25.93,1.1
2010000275,2010000275,CMT,1/1/2010 0:03,1/1/2010 0:17,1,14.62,2.3
2010000276,2010000276,CMT,1/1/2010 0:03,1/1/2010 0:19,1,16.42,9.2
2010000277,2010000277,CMT,1/1/2010 0:03,1/1/2010 0:23,3,20.2,4.8
2010000278,2010000278,CMT,1/1/2010 0:03,1/1/2010 0:28,1,25.33,7.2
2010000279,2010000279,DDS,1/1/2010 0:03,1/1/2010 0:33,1,30.23,8.9
2010000280,2010000280,CMT,1/1/2010 0:03,1/1/2010 0:11,1,8.73,3.2
2010000281,2010000281,CMT,1/1/2010 0:03,1/1/2010 0:09,1,6.4,1.1
2010000282,2010000282,CMT,1/1/2010 0:03,1/1/2010 0:07,1,3.97,0.7
2010000283,2010000283,DDS,1/1/2010 0:03,1/1/2010 0:12,1,9.06,1.5
2010000284,2010000284,DDS,1/1/2010 0:03,1/1/2010 0:14,2,11.5,2.5
2010000285,2010000285,CMT,1/1/2010 0:03,1/1/2010 0:08,1,5.07,1.4
2010000286,2010000286,CMT,1/1/2010 0:03,1/1/2010 0:07,1,3.87,0.6
2010000287,2010000287,VTS,1/1/2010 0:03,1/1/2010 0:03,1,0,0.51
2010000288,2010000288,CMT,1/1/2010 0:03,1/1/2010 0:19,1,16.45,5.3
2010000289,2010000289,CMT,1/1/2010 0:03,1/1/2010 0:09,1,6.33,1.8
2010000290,2010000290,DDS,1/1/2010 0:03,1/1/2010 0:19,1,16.18,3.4
2010000291,2010000291,CMT,1/1/2010 0:03,1/1/2010 0:28,1,25.25,7.9
2010000292,2010000292,CMT,1/1/2010 0:03,1/1/2010 0:06,1,2.75,0.5
2010000293,2010000293,CMT,1/1/2010 0:03,1/1/2010 0:08,2,5.38,1
2010000294,2010000294,CMT,1/1/2010 0:03,1/1/2010 0:12,1,9.07,2.2
2010000295,2010000295,CMT,1/1/2010 0:03,1/1/2010 0:22,1,19.52,13
2010000296,2010000296,CMT,1/1/2010 0:03,1/1/2010 0:07,2,4.12,0.5
2010000297,2010000297,CMT,1/1/2010 0:03,1/1/2010 0:08,2,5.17,1.1
2010000298,2010000298,CMT,1/1/2010 0:03,1/1/2010 0:09,1,5.9,1.3
2010000299,2010000299,VTS,1/1/2010 0:03,1/1/2010 0:03,1,0,0.45
2010000300,2010000300,CMT,1/1/2010 0:03,1/1/2010 0:14,1,11.52,1.2
